Streaming output truncated to the last 5000 lines.
Iteration 248: Best Cost = 497.0, Tabu Size = 223
Iteration 249: Best Cost = 497.0, Tabu Size = 223
Iteration 250: Best Cost = 497.0, Tabu Size = 223
Iteration 251: Best Cost = 497.0, Tabu Size = 223
Iteration 252: Best Cost = 497.0, Tabu Size = 223
Iteration 253: Best Cost = 497.0, Tabu Size = 223
Iteration 254: Best Cost = 497.0, Tabu Size = 223
Iteration 255: Best Cost = 497.0, Tabu Size = 223
Iteration 256: Best Cost = 497.0, Tabu Size = 223
Iteration 257: Best Cost = 497.0, Tabu Size = 223
Iteration 258: Best Cost = 497.0, Tabu Size = 223
Iteration 259: Best Cost = 497.0, Tabu Size = 223
Iteration 260: Best Cost = 497.0, Tabu Size = 223
Iteration 261: Best Cost = 497.0, Tabu Size = 223
Iteration 262: Best Cost = 497.0, Tabu Size = 224
Iteration 263: Best Cost = 497.0, Tabu Size = 225
Iteration 264: Best Cost = 497.0, Tabu Size = 225
Iteration 265: Best Cost = 497.0, Tabu Size = 225
Iteration 266: Best Cost = 497.0, Tabu Size = 225
Iteration 267: Best Cost = 497.0, Tabu Size = 225
Iteration 268: Best Cost = 497.0, Tabu Size = 226
Iteration 269: Best Cost = 497.0, Tabu Size = 227
Iteration 270: Best Cost = 497.0, Tabu Size = 228
Iteration 271: Best Cost = 497.0, Tabu Size = 229
Iteration 272: Best Cost = 497.0, Tabu Size = 229
Iteration 273: Best Cost = 497.0, Tabu Size = 229
Iteration 274: Best Cost = 497.0, Tabu Size = 229
Iteration 275: Best Cost = 497.0, Tabu Size = 229
Iteration 276: Best Cost = 497.0, Tabu Size = 229
Iteration 277: Best Cost = 497.0, Tabu Size = 229
Iteration 278: Best Cost = 497.0, Tabu Size = 230
Iteration 279: Best Cost = 497.0, Tabu Size = 231
Iteration 280: Best Cost = 497.0, Tabu Size = 231
Iteration 281: Best Cost = 497.0, Tabu Size = 231
Iteration 282: Best Cost = 497.0, Tabu Size = 231
Iteration 283: Best Cost = 497.0, Tabu Size = 231
Iteration 284: Best Cost = 497.0, Tabu Size = 231
Iteration 285: Best Cost = 497.0, Tabu Size = 231
Iteration 286: Best Cost = 497.0, Tabu Size = 232
Iteration 287: Best Cost = 497.0, Tabu Size = 233
Iteration 288: Best Cost = 497.0, Tabu Size = 233
Iteration 289: Best Cost = 497.0, Tabu Size = 233
Iteration 290: Best Cost = 497.0, Tabu Size = 233
Iteration 291: Best Cost = 497.0, Tabu Size = 233
Iteration 292: Best Cost = 497.0, Tabu Size = 233
Iteration 293: Best Cost = 497.0, Tabu Size = 233
Iteration 294: Best Cost = 497.0, Tabu Size = 233
Iteration 295: Best Cost = 497.0, Tabu Size = 233
Iteration 296: Best Cost = 497.0, Tabu Size = 233
Iteration 297: Best Cost = 497.0, Tabu Size = 233
Iteration 298: Best Cost = 497.0, Tabu Size = 233
Iteration 299: Best Cost = 497.0, Tabu Size = 233
Iteration 300: Best Cost = 497.0, Tabu Size = 233
Iteration 301: Best Cost = 497.0, Tabu Size = 233
Iteration 302: Best Cost = 497.0, Tabu Size = 233
Iteration 303: Best Cost = 497.0, Tabu Size = 233
Iteration 304: Best Cost = 497.0, Tabu Size = 233
Iteration 305: Best Cost = 497.0, Tabu Size = 233
Iteration 306: Best Cost = 497.0, Tabu Size = 233
Iteration 307: Best Cost = 497.0, Tabu Size = 233
Iteration 308: Best Cost = 497.0, Tabu Size = 233
Iteration 309: Best Cost = 497.0, Tabu Size = 233
Iteration 310: Best Cost = 497.0, Tabu Size = 233
Iteration 311: Best Cost = 497.0, Tabu Size = 233
Iteration 312: Best Cost = 497.0, Tabu Size = 233
Iteration 313: Best Cost = 497.0, Tabu Size = 233
Iteration 314: Best Cost = 497.0, Tabu Size = 233
Iteration 315: Best Cost = 497.0, Tabu Size = 234
Iteration 316: Best Cost = 494.0, Tabu Size = 235
Iteration 317: Best Cost = 494.0, Tabu Size = 236
Iteration 318: Best Cost = 493.0, Tabu Size = 237
Iteration 319: Best Cost = 493.0, Tabu Size = 238
Iteration 320: Best Cost = 493.0, Tabu Size = 239
Iteration 321: Best Cost = 489.0, Tabu Size = 240
Iteration 322: Best Cost = 488.0, Tabu Size = 241
Iteration 323: Best Cost = 488.0, Tabu Size = 242
Iteration 324: Best Cost = 488.0, Tabu Size = 243
Iteration 325: Best Cost = 488.0, Tabu Size = 244
Iteration 326: Best Cost = 488.0, Tabu Size = 245
Iteration 327: Best Cost = 488.0, Tabu Size = 246
Iteration 328: Best Cost = 488.0, Tabu Size = 247
Iteration 329: Best Cost = 488.0, Tabu Size = 248
Iteration 330: Best Cost = 488.0, Tabu Size = 249
Iteration 331: Best Cost = 488.0, Tabu Size = 250
Iteration 332: Best Cost = 488.0, Tabu Size = 251
Iteration 333: Best Cost = 488.0, Tabu Size = 252
